Time,Actor Type,Actor ID,X,Y
1.0009820461273193,Vehicle,1572,-0.0006103515625,0.0
1.0009820461273193,Vehicle,1573,-0.48455810546875,-0.034698486328125
1.0009820461273193,Vehicle,1574,0.02496337890625,-0.614654541015625
2.000084638595581,Vehicle,1572,0.01214599609375,1.55645751953125
2.000084638595581,Vehicle,1573,-3.3866119384765625,-0.27587890625
2.000084638595581,Vehicle,1574,0.1341094970703125,-3.7861328125
3.0000898838043213,Vehicle,1572,0.0082855224609375,4.465606689453125
3.0000898838043213,Vehicle,1573,-8.00531005859375,-0.80426025390625
3.0000898838043213,Vehicle,1574,0.29022216796875,-8.718017578125
4.000581979751587,Vehicle,1572,-0.033203125,9.934417724609375
4.000581979751587,Vehicle,1573,-12.82684326171875,-4.0321044921875
4.000581979751587,Vehicle,1574,0.3118133544921875,-9.45135498046875
5.000726699829102,Vehicle,1572,-0.136932373046875,16.2430419921875
5.000726699829102,Vehicle,1573,-12.361328125,-11.70745849609375
5.000726699829102,Vehicle,1574,0.3118133544921875,-9.45135498046875
6.000731945037842,Vehicle,1572,-0.23565673828125,20.98175048828125
6.000731945037842,Vehicle,1573,-12.417831420898438,-19.60443115234375
6.000731945037842,Vehicle,1574,0.3118133544921875,-9.45135498046875
7.0007336139678955,Vehicle,1572,-0.316497802734375,24.678680419921875
7.0007336139678955,Vehicle,1573,-12.277130126953125,-27.581085205078125
7.0007336139678955,Vehicle,1574,0.3118133544921875,-9.45135498046875
8.000629425048828,Vehicle,1572,-0.4204254150390625,29.3232421875
8.000629425048828,Vehicle,1573,-12.102569580078125,-35.61822509765625
8.000629425048828,Vehicle,1574,0.3118133544921875,-9.45135498046875
9.000632524490356,Vehicle,1572,-0.909271240234375,33.615081787109375
9.000632524490356,Vehicle,1573,-11.940505981445312,-42.794219970703125
9.000632524490356,Vehicle,1574,0.3118133544921875,-9.45135498046875
10.00063180923462,Vehicle,1572,-4.465972900390625,38.089752197265625
10.00063180923462,Vehicle,1573,-11.172897338867188,-49.48577880859375
10.00063180923462,Vehicle,1574,0.3118133544921875,-9.45135498046875
11.000202894210815,Vehicle,1572,-12.392379760742188,38.680084228515625
11.000202894210815,Vehicle,1573,-6.6690521240234375,-53.73175048828125
11.000202894210815,Vehicle,1574,0.3118133544921875,-9.45135498046875
12.00019645690918,Vehicle,1572,-20.317398071289062,38.6234130859375
12.00019645690918,Vehicle,1573,2.3061676025390625,-53.288299560546875
12.00019645690918,Vehicle,1574,0.32501220703125,-9.921173095703125
13.000200033187866,Vehicle,1572,-28.197555541992188,38.592010498046875
13.000200033187866,Vehicle,1573,13.734542846679688,-53.4261474609375
13.000200033187866,Vehicle,1574,0.305419921875,-12.757598876953125
14.000784397125244,Vehicle,1572,-36.24546813964844,38.57086181640625
14.000784397125244,Vehicle,1573,27.738601684570312,-53.501617431640625
14.000784397125244,Vehicle,1574,0.0995025634765625,-17.083282470703125
15.000269412994385,Vehicle,1572,-44.08457946777344,38.76837158203125
15.000269412994385,Vehicle,1573,43.558380126953125,-52.993988037109375
15.000269412994385,Vehicle,1574,-1.410888671875,-22.562408447265625
16.0002703666687,Vehicle,1572,-52.07279968261719,39.430328369140625
16.0002703666687,Vehicle,1573,60.473480224609375,-50.664825439453125
16.0002703666687,Vehicle,1574,-6.78289794921875,-27.576934814453125
17.000203609466553,Vehicle,1572,-59.87907409667969,40.7314453125
17.000203609466553,Vehicle,1573,78.48605346679688,-45.611053466796875
17.000203609466553,Vehicle,1574,-14.761123657226562,-28.13848876953125
18.000454902648926,Vehicle,1572,-67.689208984375,42.62689208984375
18.000454902648926,Vehicle,1573,96.93743896484375,-37.171051025390625
18.000454902648926,Vehicle,1574,-22.953033447265625,-28.196197509765625
19.000412464141846,Vehicle,1572,-75.14605712890625,45.135467529296875
19.000412464141846,Vehicle,1573,114.43121337890625,-25.620758056640625
19.000412464141846,Vehicle,1574,-30.980880737304688,-28.22711181640625
20.000585079193115,Vehicle,1572,-82.57040405273438,48.28076171875
20.000585079193115,Vehicle,1573,130.89291381835938,-10.25799560546875
20.000585079193115,Vehicle,1574,-39.20808410644531,-28.246063232421875
21.000697135925293,Vehicle,1572,-89.52519226074219,51.928802490234375
21.000697135925293,Vehicle,1573,144.70697021484375,7.942108154296875
21.000697135925293,Vehicle,1574,-47.21226501464844,-27.9962158203125
22.000322580337524,Vehicle,1572,-96.36333465576172,56.241302490234375
22.000322580337524,Vehicle,1573,155.49945068359375,29.128204345703125
22.000322580337524,Vehicle,1574,-55.41462707519531,-27.196441650390625
23.00032329559326,Vehicle,1572,-102.69962310791016,60.97857666015625
23.00032329559326,Vehicle,1573,161.14349365234375,47.767669677734375
23.00032329559326,Vehicle,1574,-63.354278564453125,-25.7822265625
24.000328540802002,Vehicle,1572,-108.67147064208984,66.2733154296875
24.000328540802002,Vehicle,1573,163.651611328125,63.86515808105469
24.000328540802002,Vehicle,1574,-71.22430419921875,-23.72076416015625
25.00048565864563,Vehicle,1572,-114.12401580810547,71.8917236328125
25.00048565864563,Vehicle,1573,164.38906860351562,76.84725952148438
25.00048565864563,Vehicle,1574,-78.75818634033203,-21.08599853515625
26.000406742095947,Vehicle,1572,-119.24952697753906,78.04776000976562
26.000406742095947,Vehicle,1573,164.30157470703125,87.86227416992188
26.000406742095947,Vehicle,1574,-86.200927734375,-17.737640380859375
27.000491619110107,Vehicle,1572,-123.86829376220703,84.42987060546875
27.000491619110107,Vehicle,1573,164.20834350585938,96.6177978515625
27.000491619110107,Vehicle,1574,-93.25130462646484,-13.89544677734375
