Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Vehicle,231,14.869270324707031,78.06416130065918
2,Vehicle,231,13.488479614257812,78.13671684265137
3,Vehicle,231,11.644966125488281,78.27208518981934
4,Vehicle,231,9.70346450805664,78.6687126159668
5,Vehicle,231,7.593883514404297,80.81286239624023
6,Vehicle,231,5.583610534667969,84.55928611755371
7,Vehicle,231,4.051887512207031,85.99262046813965
8,Vehicle,231,2.196392059326172,86.98935508728027
9,Vehicle,231,0.08994674682617188,87.72549819946289
10,Vehicle,231,-1.9214935302734375,88.86465072631836
11,Vehicle,231,-3.3004417419433594,90.57480239868164
12,Vehicle,231,-3.7253494262695312,92.67526912689209
13,Vehicle,231,-3.621540069580078,95.09508228302002
14,Vehicle,231,-3.6733665466308594,97.18586158752441
15,Vehicle,231,-3.99835205078125,99.07054615020752
16,Vehicle,231,-4.877037048339844,101.04682159423828
17,Vehicle,231,-6.077648162841797,103.62265229225159
18,Vehicle,231,-6.8480224609375,106.35873186588287
19,Vehicle,231,-6.949924468994141,109.44534331560135
