Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Pedestrian,238,177.10697555541992,46.82875633239746
2,Pedestrian,238,175.7261848449707,46.90131187438965
3,Pedestrian,238,173.88267135620117,47.03668022155762
4,Pedestrian,238,171.94116973876953,47.43330764770508
5,Pedestrian,238,169.81708908081055,48.053470611572266
6,Pedestrian,238,167.80150604248047,49.33973503112793
7,Pedestrian,238,166.62277221679688,48.65667533874512
8,Pedestrian,238,165.0058708190918,48.0839900970459
9,Pedestrian,238,163.15993881225586,47.24595260620117
10,Pedestrian,238,161.40882110595703,46.82744216918945
11,Pedestrian,238,160.29423141479492,46.95793151855469
12,Pedestrian,238,160.1351547241211,47.47004985809326
13,Pedestrian,238,160.5082664489746,48.28041934967041
14,Pedestrian,238,160.71982955932617,48.79739952087402
15,Pedestrian,238,160.6693115234375,49.4844331741333
16,Pedestrian,238,159.7509651184082,49.80770492553711
17,Pedestrian,238,158.55067443847656,51.133360147476196
18,Pedestrian,238,157.7904281616211,51.13796770572662
19,Pedestrian,238,157.5698585510254,51.778877556324005
