Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Vehicle,214,66.19395112991333,105.81173706054688
1,Vehicle,215,14.578811645507812,78.07640075683594
1,Vehicle,216,95.48391723632812,106.05784606933594
1,Pedestrian,217,123.11652374267578,37.002288818359375
1,Pedestrian,219,63.11646270751953,-3.197723388671875
1,Pedestrian,221,32.21649932861328,-2.297760009765625
1,Pedestrian,223,53.97022724151611,120.70223999023438
1,Pedestrian,225,66.42026400566101,101.50228881835938
2,Vehicle,214,64.69147968292236,105.8940486907959
2,Vehicle,215,13.076339721679688,78.15933799743652
2,Vehicle,216,93.98141098022461,106.13947105407715
2,Pedestrian,217,121.61405181884766,37.0847225189209
2,Pedestrian,219,61.613990783691406,-3.1152896881103516
2,Pedestrian,221,30.714027404785156,-2.2153263092041016
2,Pedestrian,223,52.46775531768799,120.7846736907959
2,Pedestrian,225,64.91779208183289,101.5847225189209
3,Vehicle,214,62.7870454788208,106.13569831848145
3,Vehicle,215,11.17190933227539,78.40258979797363
3,Vehicle,216,92.07698440551758,106.38113594055176
3,Pedestrian,217,119.7096176147461,37.326372146606445
3,Pedestrian,219,59.709556579589844,-2.8736400604248047
3,Pedestrian,221,28.809593200683594,-1.9736766815185547
3,Pedestrian,223,50.563321113586426,121.02632331848145
3,Pedestrian,225,63.01335787773132,101.82637214660645
4,Vehicle,214,60.640610694885254,106.54867935180664
4,Vehicle,215,9.224685668945312,78.84640884399414
4,Vehicle,216,90.12947463989258,106.79472732543945
4,Pedestrian,217,117.7621078491211,37.7398567199707
4,Pedestrian,219,57.762046813964844,-2.460155487060547
4,Pedestrian,221,26.862083435058594,-1.5601921081542969
4,Pedestrian,223,48.615811347961426,121.4398078918457
4,Pedestrian,225,61.06584811210632,102.2398567199707
5,Vehicle,214,57.370497822761536,107.32327079772949
5,Vehicle,215,7.024574279785156,80.28059196472168
5,Vehicle,216,87.21175575256348,107.57665824890137
5,Pedestrian,217,115.55795288085938,38.51899528503418
5,Pedestrian,219,55.557891845703125,-1.6810169219970703
5,Pedestrian,221,24.657928466796875,-0.7810535430908203
5,Pedestrian,223,46.41165637969971,122.21894645690918
5,Pedestrian,225,58.861693143844604,103.01899528503418
