Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Vehicle,228,162.24029159545898,58.475881576538086
2,Vehicle,228,160.8593635559082,58.54842948913574
3,Vehicle,228,159.01589584350586,58.68380546569824
4,Vehicle,228,157.06988525390625,59.82138442993164
5,Vehicle,228,154.94086074829102,61.584407806396484
6,Vehicle,228,152.91265869140625,64.2088451385498
7,Vehicle,228,151.41429138183594,66.8391170501709
8,Vehicle,228,149.53071975708008,69.28359031677246
9,Vehicle,228,146.67890548706055,71.49733352661133
10,Vehicle,228,144.37088775634766,74.26275253295898
11,Vehicle,228,143.20092391967773,77.64088821411133
12,Vehicle,228,142.34687042236328,81.43661403656006
13,Vehicle,228,141.86896133422852,85.50380420684814
14,Vehicle,228,142.31432723999023,89.16091346740723
15,Vehicle,228,143.13367462158203,92.24249744415283
16,Vehicle,228,142.8238410949707,95.6530990600586
17,Vehicle,228,140.5142593383789,98.73125672340393
18,Vehicle,228,138.22500610351562,100.48536455631256
19,Vehicle,228,136.50226211547852,102.20899230241776
