Time,Actor Type,Actor ID,Relative X,Relative Y
1714052796.3954425,Vehicle,25,-50.18947219848633,59.7741584777832
1714052796.3954425,Vehicle,26,-25.011287689208984,4.135244369506836
1714052796.3954425,Vehicle,27,42.864492416381836,-91.89113998413086
1714052796.3954425,Vehicle,28,49.83137226104736,42.45341110229492
1714052796.3954425,Vehicle,29,-46.25990676879883,-32.13232707977295
1714052796.395553,Pedestrian,30,170.34462356567383,-51.14600944519043
1714052796.395553,Pedestrian,32,-42.79128646850586,-38.24724292755127
1714052796.395553,Pedestrian,34,166.40696334838867,27.056976318359375
1714052796.395553,Pedestrian,36,33.36558151245117,45.901668548583984
1714052796.395553,Pedestrian,38,18.53372573852539,-54.250946044921875
1714052797.3959267,Vehicle,25,-52.80299377441406,68.33822631835938
1714052797.3959267,Vehicle,26,-24.99079132080078,5.1998291015625
1714052797.3959267,Vehicle,27,36.17399597167969,-90.91464233398438
1714052797.3959267,Vehicle,28,42.577287673950195,43.49159240722656
1714052797.3959267,Vehicle,29,-49.998260498046875,-37.63511085510254
1714052797.395963,Pedestrian,30,166.53269958496094,-50.09048652648926
1714052797.395963,Pedestrian,32,-46.60321044921875,-37.1917200088501
1714052797.395963,Pedestrian,34,162.59503936767578,28.112499237060547
1714052797.395963,Pedestrian,36,29.55365753173828,46.957191467285156
1714052797.395963,Pedestrian,38,14.7218017578125,-53.1954231262207
1714052798.3962116,Vehicle,25,-56.27392578125,74.26053428649902
1714052798.3962116,Vehicle,26,-25.293426513671875,7.913265228271484
1714052798.3962116,Vehicle,27,28.129901885986328,-88.21924781799316
1714052798.3962116,Vehicle,28,34.06820869445801,46.1829891204834
1714052798.3962116,Vehicle,29,-54.17784881591797,-42.2165412902832
1714052798.3962493,Pedestrian,30,162.25802612304688,-47.38840866088867
1714052798.3962493,Pedestrian,32,-50.87788391113281,-34.48964214324951
1714052798.3962493,Pedestrian,34,158.32036590576172,30.814577102661133
1714052798.3962493,Pedestrian,36,25.27898406982422,49.65926933288574
1714052798.3962493,Pedestrian,38,10.447128295898438,-50.49334526062012
1714052799.3973863,Vehicle,25,-58.76100158691406,83.6310338973999
1714052799.3973863,Vehicle,26,-23.278961181640625,12.922507286071777
1714052799.3973863,Vehicle,27,21.339262008666992,-83.33043766021729
1714052799.3973863,Vehicle,28,24.12911605834961,51.153441429138184
1714052799.3973863,Vehicle,29,-57.231231689453125,-42.33313465118408
1714052799.397419,Pedestrian,30,158.76902770996094,-42.40008068084717
1714052799.397419,Pedestrian,32,-54.36688232421875,-29.501314163208008
1714052799.397419,Pedestrian,34,154.83136749267578,35.80290508270264
1714052799.397419,Pedestrian,36,21.78998565673828,54.647597312927246
1714052799.397419,Pedestrian,38,6.9581298828125,-45.50501728057861
1714052800.3982487,Vehicle,25,-58.91088104248047,94.65771961212158
1714052800.3982487,Vehicle,26,-24.78186798095703,18.056200981140137
1714052800.3982487,Vehicle,27,18.118778228759766,-78.21095561981201
1714052800.3982487,Vehicle,28,15.204456329345703,56.0982027053833
1714052800.3982487,Vehicle,29,-59.429542541503906,-40.99662113189697
1714052800.3982928,Pedestrian,30,155.698974609375,-37.276997566223145
1714052800.3982928,Pedestrian,32,-57.43693542480469,-24.378231048583984
1714052800.3982928,Pedestrian,34,151.76131439208984,40.92598819732666
1714052800.3982928,Pedestrian,36,18.719932556152344,59.77068042755127
1714052800.3982928,Pedestrian,38,3.8880767822265625,-40.38193416595459
1714052801.399191,Vehicle,25,-58.258941650390625,106.39649868011475
1714052801.399191,Vehicle,26,-27.84173583984375,23.10215663909912
1714052801.399191,Vehicle,27,14.985240936279297,-73.16542911529541
1714052801.399191,Vehicle,28,9.003162384033203,60.23564052581787
1714052801.399191,Vehicle,29,-60.664337158203125,-42.96375370025635
1714052801.3992229,Pedestrian,30,152.5991439819336,-32.23094463348389
1714052801.3992229,Pedestrian,32,-60.536766052246094,-19.332178115844727
1714052801.3992229,Pedestrian,34,148.66148376464844,45.97204113006592
1714052801.3992229,Pedestrian,36,15.620101928710938,64.81673336029053
1714052801.3992229,Pedestrian,38,0.7882461547851562,-35.33588123321533
1714052802.399916,Vehicle,25,-58.43907928466797,110.59406089782715
1714052802.399916,Vehicle,26,-27.637168884277344,25.66986083984375
1714052802.399916,Vehicle,27,13.635103225708008,-70.60750007629395
1714052802.399916,Vehicle,28,8.416183471679688,62.772329330444336
1714052802.399916,Vehicle,29,-58.14210510253906,-46.43321418762207
1714052802.3999512,Pedestrian,30,152.0643539428711,-29.662425994873047
1714052802.3999512,Pedestrian,32,-61.071556091308594,-16.763659477233887
1714052802.3999512,Pedestrian,34,148.12669372558594,48.54055976867676
