Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Pedestrian,234,7.006999969482422,39.12306022644043
2,Pedestrian,234,5.626209259033203,39.19561576843262
3,Pedestrian,234,3.782695770263672,39.330984115600586
4,Pedestrian,234,1.8411941528320312,39.72761154174805
5,Pedestrian,234,-0.2828865051269531,40.347774505615234
6,Pedestrian,234,-2.2984695434570312,41.6340389251709
7,Pedestrian,234,-3.9120140075683594,43.04284858703613
8,Pedestrian,234,-5.922393798828125,44.14660835266113
9,Pedestrian,234,-8.220439910888672,44.955238342285156
10,Pedestrian,234,-10.416877746582031,46.16228485107422
11,Pedestrian,234,-11.986682891845703,47.93854522705078
12,Pedestrian,234,-12.60995101928711,50.10361385345459
13,Pedestrian,234,-12.86569595336914,52.64054584503174
14,Pedestrian,234,-13.131092071533203,54.77846717834473
15,Pedestrian,234,-13.500194549560547,56.67710590362549
16,Pedestrian,234,-14.38320541381836,58.62516784667969
17,Pedestrian,234,-15.589286804199219,60.79825043678284
18,Pedestrian,234,-16.37238311767578,62.720822930336
19,Pedestrian,234,-16.496463775634766,64.64501219987869
