Time,Actor Type,Actor ID,Relative X,Relative Y
1714052332.908929,Vehicle,25,45.22536373138428,113.25919151306152
1714052332.908929,Vehicle,26,73.66137790679932,-81.26602363586426
1714052332.908929,Vehicle,27,127.69967651367188,1.0074291229248047
1714052332.908929,Vehicle,28,-53.62098693847656,25.298852920532227
1714052332.908929,Vehicle,29,40.80864334106445,106.3101863861084
1714052332.9090528,Pedestrian,30,-6.122962951660156,-10.86514663696289
1714052332.9090528,Pedestrian,32,104.04435729980469,-6.954307556152344
1714052332.9090528,Pedestrian,34,-14.672637939453125,-7.388877868652344
1714052332.9090528,Pedestrian,36,12.028533935546875,-67.2174243927002
1714052332.9090528,Pedestrian,38,115.1410026550293,-88.21216773986816
1714052333.9094286,Vehicle,25,49.08226680755615,114.08517646789551
1714052333.9094286,Vehicle,26,72.71414089202881,-80.46096611022949
1714052333.9094286,Vehicle,27,130.95504760742188,1.8301563262939453
1714052333.9094286,Vehicle,28,-56.840850830078125,32.46038246154785
1714052333.9094286,Vehicle,29,35.455291748046875,107.0553150177002
1714052333.9094691,Pedestrian,30,-9.269950866699219,-10.059211730957031
1714052333.9094691,Pedestrian,32,100.89736938476562,-6.148372650146484
1714052333.9094691,Pedestrian,34,-17.819625854492188,-6.582942962646484
1714052333.9094691,Pedestrian,36,8.881546020507812,-66.41148948669434
1714052333.9094691,Pedestrian,38,111.99401473999023,-87.4062328338623
1714052334.9106517,Vehicle,25,49.7691650390625,115.90029716491699
1714052334.9106517,Vehicle,26,71.62975120544434,-78.67752647399902
1714052334.9106517,Vehicle,27,130.96863174438477,3.6224308013916016
1714052334.9106517,Vehicle,28,-60.451847076416016,39.75533866882324
1714052334.9106517,Vehicle,29,31.757959365844727,108.83698844909668
1714052334.9106927,Pedestrian,30,-12.805477142333984,-8.274822235107422
1714052334.9106927,Pedestrian,32,97.36184310913086,-4.363983154296875
1714052334.9106927,Pedestrian,34,-21.355152130126953,-4.798553466796875
1714052334.9106927,Pedestrian,36,5.346019744873047,-64.62709999084473
1714052334.9106927,Pedestrian,38,108.45848846435547,-85.6218433380127
1714052335.9119284,Vehicle,25,47.22598695755005,119.03528785705566
1714052335.9119284,Vehicle,26,71.24301147460938,-75.55403709411621
1714052335.9119284,Vehicle,27,128.85504531860352,6.750856399536133
1714052335.9119284,Vehicle,28,-63.77235794067383,45.21917152404785
1714052335.9119284,Vehicle,29,28.45286750793457,111.96164894104004
1714052335.9119685,Pedestrian,30,-16.110309600830078,-5.1501617431640625
1714052335.9119685,Pedestrian,32,94.05701065063477,-1.2393226623535156
1714052335.9119685,Pedestrian,34,-24.659984588623047,-1.6738929748535156
1714052335.9119685,Pedestrian,36,2.041187286376953,-61.50243949890137
1714052335.9119685,Pedestrian,38,105.15365600585938,-82.49718284606934
1714052336.9126403,Vehicle,25,46.224289536476135,122.95143795013428
1714052336.9126403,Vehicle,26,71.37330627441406,-71.65063190460205
1714052336.9126403,Vehicle,27,125.63035202026367,10.655611991882324
1714052336.9126403,Vehicle,28,-67.01312637329102,50.309081077575684
1714052336.9126403,Vehicle,29,25.224985122680664,115.8663854598999
1714052336.9127357,Pedestrian,30,-19.338191986083984,-1.2454252243041992
1714052336.9127357,Pedestrian,32,90.82912826538086,2.6654138565063477
1714052336.9127357,Pedestrian,34,-27.887866973876953,2.2308435440063477
1714052336.9127357,Pedestrian,36,-1.1866950988769531,-57.597702980041504
1714052336.9127357,Pedestrian,38,101.92577362060547,-78.59244632720947
1714052337.9139354,Vehicle,25,46.99022674560547,127.1503267288208
1714052337.9139354,Vehicle,26,72.36922645568848,-67.48067378997803
1714052337.9139354,Vehicle,27,122.77222061157227,14.827034950256348
1714052337.9139354,Vehicle,28,-69.91119766235352,57.50036334991455
