Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Pedestrian,232,70.54319047927856,-77.39473915100098
2,Pedestrian,232,69.16239976882935,-77.32218360900879
3,Pedestrian,232,67.31888628005981,-77.18681526184082
4,Pedestrian,232,65.37738466262817,-76.79018783569336
5,Pedestrian,232,63.25330400466919,-76.17002487182617
6,Pedestrian,232,61.23772096633911,-74.88376045227051
7,Pedestrian,232,61.53425216674805,-72.86020851135254
8,Pedestrian,232,61.13718128204346,-71.24370765686035
9,Pedestrian,232,60.50128936767578,-69.8886947631836
10,Pedestrian,232,59.94571399688721,-68.13755416870117
11,Pedestrian,232,59.344834327697754,-66.10037994384766
12,Pedestrian,232,60.71340274810791,-63.19053363800049
13,Pedestrian,232,61.891536712646484,-60.58273983001709
14,Pedestrian,232,63.580345153808594,-58.40057182312012
15,Pedestrian,232,64.89714241027832,-56.447585105895996
16,Pedestrian,232,65.62992286682129,-54.44042205810547
17,Pedestrian,232,66.03618431091309,-52.20783019065857
18,Pedestrian,232,66.87327766418457,-50.23379361629486
19,Pedestrian,232,68.37045669555664,-48.25740784406662
