Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Vehicle,230,-47.68374252319336,48.48384666442871
2,Vehicle,230,-49.06453323364258,48.55639457702637
3,Vehicle,230,-50.90804672241211,48.691762924194336
4,Vehicle,230,-52.845611572265625,49.35109329223633
5,Vehicle,230,-54.947696685791016,51.94869613647461
6,Vehicle,230,-56.916297912597656,55.988019943237305
7,Vehicle,230,-58.32677459716797,59.23382377624512
8,Vehicle,230,-60.039058685302734,62.05219841003418
9,Vehicle,230,-61.79429244995117,64.90182113647461
10,Vehicle,230,-63.66361999511719,68.29025650024414
11,Vehicle,230,-64.60927200317383,72.31814193725586
12,Vehicle,230,-64.80389404296875,76.35584163665771
13,Vehicle,230,-64.2077522277832,81.00148487091064
14,Vehicle,230,-63.748653411865234,85.27793312072754
15,Vehicle,230,-63.58348083496094,89.04466724395752
16,Vehicle,230,-63.82841110229492,92.96672058105469
17,Vehicle,230,-64.25650787353516,97.51608490943909
18,Vehicle,230,-64.25559997558594,101.23955309391022
19,Vehicle,230,-63.6628532409668,105.00259429216385
