Timestep,Actor_Type,Actor_ID,Relative_X,Relative_Y
1,Vehicle,229,35.6363582611084,-85.69909858703613
2,Vehicle,229,34.25556945800781,-85.62654304504395
3,Vehicle,229,32.41205596923828,-85.49117469787598
4,Vehicle,229,31.1683349609375,-85.08728408813477
5,Vehicle,229,30.651287078857422,-84.45040893554688
6,Vehicle,229,30.5566463470459,-83.1436710357666
7,Vehicle,229,31.08154296875,-81.85920143127441
8,Vehicle,229,31.285446166992188,-80.84005928039551
9,Vehicle,229,31.418615341186523,-80.08335876464844
10,Vehicle,229,30.866406440734863,-78.92734146118164
11,Vehicle,229,30.72898578643799,-77.20542526245117
12,Vehicle,229,31.858367919921875,-75.08778858184814
13,Vehicle,229,33.72371864318848,-72.6496229171753
14,Vehicle,229,35.496840476989746,-70.54305458068848
15,Vehicle,229,37.209134578704834,-68.62875270843506
16,Vehicle,229,38.525354862213135,-66.66195297241211
17,Vehicle,229,39.62499022483826,-64.46074080467224
18,Vehicle,229,39.799745321273804,-62.548033118247986
19,Vehicle,229,40.52253472805023,-60.62412613630295
